,names,district,location,xaxis,yaxis,roomspace,orientation,numrooms,height,floors,owner,postdate,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
80,整租 ·   远见名苑朝东开间，看房方便达官营地铁,西城,广安门,116.34498500000001,39.891739,47,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,24,链家,6天前发布,5200,1.0,1,1,1,1,0,1,1,0,0,1,0
81,整租 · 华严北里小区 1室1厅 5000元,朝阳,健翔桥,116.39021299999999,39.989129,49,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,6天前发布,5000,1.0,1,1,1,1,0,1,1,1,0,1,1
82,远洋山水 1室1厅 5800元,石景山,鲁谷,116.24700800000001,39.906426,70,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,26,链家,6天前发布,5800,,1,1,1,1,0,0,1,0,0,1,1
83,整租 · 格调 1室1厅 6900元,西城,马连道,116.33330600000001,39.891490999999995,73,西南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,24,链家,6天前发布,6900,1.0,1,1,1,1,0,1,1,0,0,1,1
84,整租 · 北影小区精装修大一居 高楼层无遮挡,海淀,北太平庄,116.36465,39.980548999999996,60,东 西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,6,链家,6天前发布,8500,1.0,1,1,1,1,0,1,1,0,0,1,1
85,整租 ·   延静东里电梯精装修大一居  6号线14号线地铁,朝阳,甜水园,116.491703,39.929224,61,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,26,链家,4天前发布,6200,1.0,1,1,1,1,0,1,1,0,0,1,1
86,整租 · 知春里 1室1厅 7000元,海淀,双榆树,116.328627,39.979037,49,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,18,链家,4天前发布,7000,1.0,1,1,1,1,0,0,1,0,0,1,1
87,应用文理学院 1室1厅 6500元,海淀,牡丹园,116.36263500000001,39.982803000000004,42,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,18,链家,4天前发布,6500,,1,1,1,1,0,0,1,0,0,1,1
88,整租 ·    和平街十二区家电全朝东向小一居,朝阳,和平里,116.43268300000001,39.973614000000005,31,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,4,链家,4天前发布,5300,1.0,1,1,1,1,0,0,1,0,0,1,1
89,整租 · 瞰都国际 1室0厅 6700元,朝阳,朝阳公园,116.493333,39.967187,45,东北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,27,链家,4天前发布,6700,1.0,1,0,1,1,0,1,1,0,0,1,1
90,整租 · 万方景轩 1室1厅 8000元,朝阳,太阳宫,116.455099,39.978117,54,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,20,链家,4天前发布,8000,1.0,1,1,1,1,0,1,1,0,0,1,0
91,整租 · 雅丽世居 1室0厅 3600元,通州,果园,116.651427,39.902087,51,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,18,链家,4天前发布,3600,1.0,1,0,1,1,0,1,1,0,0,1,1
92,整租 · 水碓子东里 1室1厅 5400元,朝阳,甜水园,116.481925,39.929322,38,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,6,链家,4天前发布,5400,1.0,1,1,1,1,0,0,1,0,0,1,1
93,整租 ·   天鹅湾精装loft，家具家电齐全，拎包入住 复式,朝阳,朝青,116.52946599999999,39.928033,47,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 2})",高楼层,8,链家,4天前发布,9500,1.0,1,1,2,1,1,1,1,0,0,1,1
94,展春园 1室1厅 6000元,海淀,五道口,116.349984,39.992769,44,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,4天前发布,6000,,1,1,1,1,0,0,1,0,0,1,1
95,整租 · 高家园一居 可接受2人合租 朝南 有钥匙,朝阳,酒仙桥,116.487649,39.985143,38,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,6,链家,4天前发布,5300,1.0,1,1,1,1,0,0,1,0,0,1,1
96,整租 · 华馨公寓 1室0厅 6200元,朝阳,亚运村,116.408697,40.010801,39,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,6,链家,4天前发布,6200,1.0,1,0,1,1,0,1,1,0,0,1,1
